Zkratka,Název
ČJL,Čeština
AJ,Angličtina
NJ,Němčina
FJ,Francouzština
ŠJ,Španělština
RJ,Ruština
M,Matematika
IKT,Informační a komunikační technologie
D,Dějepis
OV,Občanská výchova
F,Fyzika
CH,Chemie
PŘ,Přírodopis / Biologie
Z,Zeměpis
HV,Hudební výchova
VV,Výtvarná výchova
VKZ,Výchova ke zdraví
TV,Tělesná výchova
ČSP,Člověk a svět práce
DV,Dramatická výchova
ETV,Etická výchova
FAV,Filmová / audiovizuální výchova
TPV,Taneční a pohybová výchova
OSV,Osobnostní a sociální výchova
VDO,Výchova demokratického občana
EGS,Výchova k myšlení v evropských a globálních souvislostech
MKV,Multikulturní výchova
ENV,Environmentální výchova
MV,Mediální výchova
ODBP,Odborné předměty
PV,Praktické vyučování
ODBV,Odborný výcvik
ZSV,Základy společenských věd
